Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SNMZ,PA0020,Porto de Moz,PORTO DE MOZ,Pará,Porto de Moz,Pará,-1.7413889,-52.235833,"01°44'29.0""S","052°14'09.0""W","16,0"
SNOF,MG0057,Ouro Fino,OURO FINO,Minas Gerais,Ouro Fino,Minas Gerais,-22.2975,-46.393333,"22°17'51.0""S","046°23'36.0""W","859,0"
SDXJ,MS0017,Costa Rica,COSTA RICA,Mato Grosso do Sul,Costa Rica,Mato Grosso do Sul,-18.491389,-53.168333,"18°29'29.0""S","053°10'06.0""W","738,0"
SNCS,CE0009,Campos Sales,CAMPOS SALES,Ceará,Campos Sales,Ceará,-7.0516667,-40.358333,"07°03'06.0""S","040°21'30.0""W","615,0"
SNED,BA0023,Sócrates Rezende,CANAVIEIRAS,Bahia,Canavieiras,Bahia,-15.666389,-38.955278,"15°39'59.0""S","038°57'19.0""W","6,0"
SNXQ,BA0018,Xique-Xique,XIQUE-XIQUE,Bahia,Xique-Xique,Bahia,-10.834167,-42.683333,"10°50'03.0""S","042°41'00.0""W","427,0"
SWCQ,RO0007,Costa Marques,COSTA MARQUES,Rondônia,Costa Marques,Rondônia,-12.421667,-64.251667,"12°25'18.0""S","064°15'06.0""W","169,0"
SSPL,RS0043,Palmeira das Missões,PALMEIRA DAS MISSÕES,Rio Grande do Sul,Palmeira das Missões,Rio Grande do Sul,-27.901667,-53.328889,"27°54'06.0""S","053°19'44.0""W","635,0"
SDUB,SP0065,Estadual Gastão Madeira,UBATUBA,São Paulo,Ubatuba,São Paulo,-23.441389,-45.076111,"23°26'29.0""S","045°04'34.0""W","3,0"
SWNQ,GO0016,Niquelândia,NIQUELÂNDIA,Goiás,Niquelândia,Goiás,-14.436389,-48.491944,"14°26'11.0""S","048°29'31.0""W","840,0"
SDIV,SP0056,Ituverava,ITUVERAVA,São Paulo,Ituverava,São Paulo,-20.375278,-47.768611,"20°22'31.0""S","047°46'07.0""W","623,0"
SNAR,MG0033,Cirilo Queiróz,ALMENARA,Minas Gerais,Almenara,Minas Gerais,-16.183889,-40.667222,"16°11'02.0""S","040°40'02.0""W","195,0"
SBMD,PA0009,Monte Dourado,ALMEIRIM,Pará,Almeirim,Pará,-0.88972222,-52.602222,"00°53'23.0""S","052°36'08.0""W","206,0"
SNRP,MG0066,Rio Paranaíba,RIO PARANAÍBA,Minas Gerais,Rio Paranaíba,Minas Gerais,-19.2125,-46.240556,"19°12'45.0""S","046°14'26.0""W","1145,0"
SWME,GO0033,Mineiros,MINEIROS,Goiás,Mineiros,Goiás,-17.551944,-52.556111,"17°33'07.0""S","052°33'22.0""W","825,0"
SWOB,AM0014,Fonte Boa,FONTE BOA,Amazonas,Fonte Boa,Amazonas,-2.5336111,-66.067222,"02°32'01.0""S","066°04'02.0""W","63,0"
SWBR,AM0018,Borba,BORBA,Amazonas,Borba,Amazonas,-4.4086111,-59.597778,"04°24'31.0""S","059°35'52.0""W","90,0"
SDLY,SP0071,Armando Natali,MATÃO,São Paulo,Matão,São Paulo,-21.624167,-48.350833,"21°37'27.0""S","048°21'03.0""W","635,0"
SNIP,BA0057,Itapetinga,ITAPETINGA,Bahia,Itapetinga,Bahia,-15.244444,-40.277222,"15°14'40.0""S","040°16'38.0""W","270,0"
SSQT,PR0013,Major Neodo S. Pereira,CASTRO,Paraná,Castro,Paraná,-24.8075,-49.960278,"24°48'27.0""S","049°57'37.0""W","1010,0"
SSSG,RS0035,São Gabriel,SÃO GABRIEL,Rio Grande do Sul,São Gabriel,Rio Grande do Sul,-30.345,-54.267778,"30°20'42.0""S","054°16'04.0""W","145,0"
SSPT,PR0028,Brasílio Marques,PALOTINA,Paraná,Palotina,Paraná,-24.343333,-53.828611,"24°20'36.0""S","053°49'43.0""W","373,0"
SNJM,MG0050,Elias Breder,MANHUAÇU,Minas Gerais,Manhuaçu,Minas Gerais,-20.259722,-42.183889,"20°15'35.0""S","042°11'02.0""W","829,0"
SNZA,MG0038,Pouso Alegre,POUSO ALEGRE,Minas Gerais,Pouso Alegre,Minas Gerais,-22.288889,-45.919444,"22°17'20.0""S","045°55'10.0""W","885,0"
SSIR,RS0049,Ibirubá,IBIRUBÁ,Rio Grande do Sul,Ibirubá,Rio Grande do Sul,-28.604167,-53.078611,"28°36'15.0""S","053°04'43.0""W","457,0"
SNTI,PA0016,Óbidos,ÓBIDOS,Pará,Óbidos,Pará,-1.8680556,-55.514444,"01°52'05.0""S","055°30'52.0""W","100,0"
