Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SSOL,MG0027,Padre Israel (Israel Batista de Carvalho),LAVRAS,Minas Gerais,Lavras,Minas Gerais,-21.240556,-44.964167,"21°14'26.0""S","044°57'51.0""W","959,0"
SDBK,SP0019,Tancredo de Almeida Neves,BOTUCATU,São Paulo,Botucatu,São Paulo,-22.936667,-48.4675,"22°56'12.0""S","048°28'03.0""W","918,0"
SDRK,SP0049,Rio Claro,RIO CLARO,São Paulo,Rio Claro,São Paulo,-22.431667,-47.5625,"22°25'54.0""S","047°33'45.0""W","600,0"
SBMQ,AP0001,Alberto Alcolumbre Internacional,MACAPÁ,Amapá,Macapá,Amapá,0.050833333,-51.070278,"00°03'03.0""N","051°04'13.0""W","17,0"
SBVC,BA0005,Glauber de Andrade Rocha,VITÓRIA DA CONQUISTA,Bahia,Vitória da Conquista,Bahia,-14.907778,-40.914722,"14°54'28.0""S","040°54'53.0""W","896,0"
SBLE,BA0006,Horácio de Matos,LENÇÓIS,Bahia,Lençóis,Bahia,-12.482222,-41.276944,"12°28'56.0""S","041°16'37.0""W","506,0"
SNGI,BA0009,Aeródromo de Guanambi,GUANAMBI,Bahia,Guanambi,Bahia,-14.208056,-42.746111,"14°12'29.0""S","042°44'46.0""W","553,0"
SBFZ,CE0001,Pinto Martins,FORTALEZA,Ceará,Fortaleza,Ceará,-3.7758333,-38.532222,"03°46'33.0""S","038°31'56.0""W","25,0"
SNMH,GO0018,Pirenópolis,PIRENÓPOLIS,Goiás,Pirenópolis,Goiás,-15.848056,-48.980278,"15°50'53.0""S","048°58'49.0""W","785,0"
SNYU,MG0014,Aeródromo de Iturama,ITURAMA,Minas Gerais,Iturama,Minas Gerais,-19.717222,-50.220278,"19°43'02.0""S","050°13'13.0""W","475,0"
SBHT,PA0003,Altamira,ALTAMIRA,Pará,Altamira,Pará,-3.2508333,-52.252222,"03°15'03.0""S","052°15'08.0""W","112,0"
SBFN,PE0003,Fernando de Noronha,FERNANDO DE NORONHA,Pernambuco,Fernando de Noronha,Pernambuco,-3.8547222,-32.428333,"03°51'17.0""S","032°25'42.0""W","58,0"
SSUM,PR0019,Orlando de Carvalho,UMUARAMA,Paraná,Umuarama,Paraná,-23.799167,-53.313889,"23°47'57.0""S","053°18'50.0""W","473,0"
SSTE,RS0011,Torres,TORRES,Rio Grande do Sul,Torres,Rio Grande do Sul,-29.415,-49.81,"29°24'54.0""S","049°48'36.0""W","9,0"
SBLJ,SC0007,Lages,LAGES,Santa Catarina,Lages,Santa Catarina,-27.782222,-50.281667,"27°46'56.0""S","050°16'54.0""W","934,0"
SDSC,SP0029,Mário Pereira Lopes,SÃO CARLOS,São Paulo,São Carlos,São Paulo,-21.876389,-47.903333,"21°52'35.0""S","047°54'12.0""W","807,0"
SBGO,GO0001,Santa Genoveva,GOIÂNIA,Goiás,Goiânia,Goiás,-16.6325,-49.221111,"16°37'57.0""S","049°13'16.0""W","747,0"
SBMI,RJ0009,Maricá,MARICÁ,Rio de Janeiro,Maricá,Rio de Janeiro,-22.918056,-42.828889,"22°55'05.0""S","042°49'44.0""W",",0"
SBUL,MG0002,Ten. Cel. Aviador César Bombonato,UBERLÂNDIA,Minas Gerais,Uberlândia,Minas Gerais,-18.883611,-48.225278,"18°53'01.0""S","048°13'31.0""W","943,0"
SBTG,MS0006,Três Lagoas,TRÊS LAGOAS,Mato Grosso do Sul,Três Lagoas,Mato Grosso do Sul,-20.751389,-51.680278,"20°45'05.0""S","051°40'49.0""W","323,0"
SBRF,PE0001,Guararapes - Gilberto Freyre Internacional,RECIFE,Pernambuco,Recife,Pernambuco,-8.1263889,-34.922778,"08°07'35.0""S","034°55'22.0""W","10,0"
SDTP,SP0025,José Vicente Faria Lima,TUPÃ,São Paulo,Tupã,São Paulo,-21.89,-50.505833,"21°53'24.0""S","050°30'21.0""W","550,0"
SSKW,RO0004,Cacoal,CACOAL,Rondônia,Cacoal,Rondônia,-11.495556,-61.450833,"11°29'44.0""S","061°27'03.0""W","249,0"
SNDT,MG0030,Juscelino Kubitscheck,DIAMANTINA,Minas Gerais,Diamantina,Minas Gerais,-18.232222,-43.650278,"18°13'56.0""S","043°39'01.0""W","1356,0"
SBPF,RS0006,Lauro Kurtz,PASSO FUNDO,Rio Grande do Sul,Passo Fundo,Rio Grande do Sul,-28.244167,-52.328333,"28°14'39.0""S","052°19'42.0""W","725,0"
SNLN,ES0002,Municipal de Linhares,LINHARES,Espírito Santo,Linhares,Espírito Santo,-19.355278,-40.071389,"19°21'19.0""S","040°04'17.0""W","42,0"
SBTE,PI0001,Aeroporto de Teresina / Senador Petrônio Portella,TERESINA,Piauí,Teresina,Piauí,-5.0605556,-42.824444,"05°03'38.0""S","042°49'28.0""W","67,0"
SWJW,GO0008,Jataí,JATAÍ,Goiás,Jataí,Goiás,-17.83,-51.775278,"17°49'48.0""S","051°46'31.0""W","771,0"
SNOU,AC0003,Novo Aeródromo de Feijó,FEIJÓ,Acre,Feijó,Acre,-8.1413889,-70.340833,"08°08'29.0""S","070°20'27.0""W","168,0"
SBGW,SP0076,Guaratinguetá,GUARATINGUETÁ,São Paulo,Guaratinguetá,São Paulo,-22.791667,-45.204444,"22°47'30.0""S","045°12'16.0""W","537,0"
SSCI,MS0012,Coxim,COXIM,Mato Grosso do Sul,Coxim,Mato Grosso do Sul,-18.481389,-54.715833,"18°28'53.0""S","054°42'57.0""W","292,0"
SWXM,MT0014,Regional Orlando Villas Boas,MATUPÁ,Mato Grosso,Matupá,Mato Grosso,-10.17,-54.953889,"10°10'12.0""S","054°57'14.0""W","270,0"
SSMJ,MS0020,Maracaju,MARACAJU,Mato Grosso do Sul,Maracaju,Mato Grosso do Sul,-21.633889,-55.145,"21°38'02.0""S","055°08'42.0""W","390,0"
SSIQ,RS0045,Itaqui,ITAQUI,Rio Grande do Sul,Itaqui,Rio Grande do Sul,-29.171944,-56.538333,"29°10'19.0""S","056°32'18.0""W","84,0"
SWBG,MT0009,André Antônio Maggi,PONTES E LACERDA,Mato Grosso,Pontes e Lacerda,Mato Grosso,-15.193333,-59.385278,"15°11'36.0""S","059°23'07.0""W","247,0"
SWKO,AM0010,Coari,COARI,Amazonas,Coari,Amazonas,-4.1338889,-63.131111,"04°08'02.0""S","063°07'52.0""W","40,0"
SBPB,PI0002,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,PARNAÍBA,Piauí,Parnaíba,Piauí,-2.8938889,-41.730278,"02°53'38.0""S","041°43'49.0""W","5,0"
SNGD,PI0005,Guadalupe,GUADALUPE,Piauí,Guadalupe,Piauí,-6.7822222,-43.582222,"06°46'56.0""S","043°34'56.0""W","172,0"
SNNU,MG0041,Nanuque,NANUQUE,Minas Gerais,Nanuque,Minas Gerais,-17.823056,-40.329722,"17°49'23.0""S","040°19'47.0""W","210,0"
SNJK,BA0047,Jequié,JEQUIÉ,Bahia,Jequié,Bahia,-13.877778,-40.071389,"13°52'40.0""S","040°04'17.0""W","197,0"
SIBU,PB0012,Catolé do Rocha,CATOLÉ DO ROCHA,Paraíba,Catolé do Rocha,Paraíba,-6.3625,-37.755278,"06°21'45.0""S","037°45'19.0""W","272,0"
SDTF,SP0050,Tatuí,TATUÍ,São Paulo,Tatuí,São Paulo,-23.331944,-47.88,"23°19'55.0""S","047°52'48.0""W","635,0"
SSCP,PR0015,Francisco Lacerda Júnior,CORNÉLIO PROCÓPIO,Paraná,Cornélio Procópio,Paraná,-23.1525,-50.6025,"23°09'09.0""S","050°36'09.0""W","567,0"
SNLT,PI0010,Paulistana,PAULISTANA,Piauí,Paulistana,Piauí,-8.1663889,-41.153889,"08°09'59.0""S","041°09'14.0""W","360,0"
SSXX,SC0017,Municipal João Winckler,XANXERÊ,Santa Catarina,Xanxerê,Santa Catarina,-26.875556,-52.373056,"26°52'32.0""S","052°22'23.0""W","910,0"
SSAE,RS0040,Arroio Grande,ARROIO GRANDE,Rio Grande do Sul,Arroio Grande,Rio Grande do Sul,-32.229167,-53.055833,"32°13'45.0""S","053°03'21.0""W","49,0"
SJOG,RO0008,Ariquemes,ARIQUEMES,Rondônia,Ariquemes,Rondônia,-9.8805556,-63.047222,"09°52'50.0""S","063°02'50.0""W","142,0"
SSGA,RS0020,Garibaldi,GARIBALDI,Rio Grande do Sul,Garibaldi,Rio Grande do Sul,-29.268333,-51.532222,"29°16'06.0""S","051°31'56.0""W","680,0"
SNNE,MG0078,Sebastião Carlos Leite,SÃO JOÃO NEPOMUCENO,Minas Gerais,São João Nepomuceno,Minas Gerais,-21.542222,-43.021111,"21°32'32.0""S","043°01'16.0""W","403,0"
SNYE,MA0004,Pinheiro,PINHEIRO,Maranhão,Pinheiro,Maranhão,-2.4775,-45.105,"02°28'39.0""S","045°06'18.0""W","20,0"
SNCT,MG0056,Caratinga,UBAPORANGA,Minas Gerais,Ubaporanga,Minas Gerais,-19.725278,-42.111111,"19°43'31.0""S","042°06'40.0""W","599,0"
SNLO,MG0037,São Lourenço,SÃO LOURENÇO,Minas Gerais,São Lourenço,Minas Gerais,-22.091667,-45.045278,"22°05'30.0""S","045°02'43.0""W","875,0"
SSSB,RS0014,São Borja,SÃO BORJA,Rio Grande do Sul,São Borja,Rio Grande do Sul,-28.654722,-56.034722,"28°39'17.0""S","056°02'05.0""W","80,0"
SDFX,BA0054,Casa Nova,CASA NOVA,Bahia,Casa Nova,Bahia,-9.1575,-40.9375,"09°09'27.0""S","040°56'15.0""W","405,0"
SSRU,RS0034,São Lourenço do Sul,SÃO LOURENÇO DO SUL,Rio Grande do Sul,São Lourenço do Sul,Rio Grande do Sul,-31.384722,-52.0325,"31°23'05.0""S","052°01'57.0""W","27,0"
SSEP,RS0031,São Sepé,SÃO SEPÉ,Rio Grande do Sul,São Sepé,Rio Grande do Sul,-30.182222,-53.579444,"30°10'56.0""S","053°34'46.0""W","153,0"
SSIJ,RS0032,Ijuí,IJUÍ,Rio Grande do Sul,Ijuí,Rio Grande do Sul,-28.368611,-53.846389,"28°22'07.0""S","053°50'47.0""W","365,0"
SNIB,BA0045,Itaberaba,ITABERABA,Bahia,Itaberaba,Bahia,-12.499722,-40.270278,"12°29'59.0""S","040°16'13.0""W","283,0"
SBSN,PA0002,Maestro Wilson Fonseca,SANTARÉM,Pará,Santarém,Pará,-2.4247222,-54.785833,"02°25'29.0""S","054°47'09.0""W","60,0"
SNRX,MA0009,Riachão,RIACHÃO,Maranhão,Riachão,Maranhão,-7.3502778,-46.633889,"07°21'01.0""S","046°38'02.0""W","400,0"
SWDM,MT0015,Diamantino,DIAMANTINO,Mato Grosso,Diamantino,Mato Grosso,-14.376667,-56.400556,"14°22'36.0""S","056°24'02.0""W","469,0"
SNOE,PI0008,Oeiras,OEIRAS,Piauí,Oeiras,Piauí,-7.0188889,-42.167222,"07°01'08.0""S","042°10'02.0""W","250,0"
SSVI,SC0011,Ângelo Ponzoni,VIDEIRA,Santa Catarina,Videira,Santa Catarina,-26.999722,-51.141389,"26°59'59.0""S","051°08'29.0""W","840,0"
SNMK,MG0017,Mocambinho,JAÍBA,Minas Gerais,Jaíba,Minas Gerais,-15.093056,-43.979167,"15°05'35.0""S","043°58'45.0""W","450,0"
SNTQ,BA0053,Buritirama,BURITIRAMA,Bahia,Buritirama,Bahia,-10.721667,-43.653611,"10°43'18.0""S","043°39'13.0""W","499,0"
SWCA,AM0007,Carauari,CARAUARI,Amazonas,Carauari,Amazonas,-4.8713889,-66.8975,"04°52'17.0""S","066°53'51.0""W","108,0"
SDIG,SP0038,Ibitinga,IBITINGA,São Paulo,Ibitinga,São Paulo,-21.747222,-48.855833,"21°44'50.0""S","048°51'21.0""W","542,0"
SNIT,BA0046,Ibotirama,IBOTIRAMA,Bahia,Ibotirama,Bahia,-12.168333,-43.2225,"12°10'06.0""S","043°13'21.0""W","422,0"
SWKC,MT0017,Cáceres,CÁCERES,Mato Grosso,Cáceres,Mato Grosso,-16.042778,-57.629722,"16°02'34.0""S","057°37'47.0""W","150,0"
SSPI,PR0010,Edu Chaves,PARANAVAÍ,Paraná,Paranavaí,Paraná,-23.09,-52.488611,"23°05'24.0""S","052°29'19.0""W","474,0"
SSLO,PR0031,Attillio Accorsi,LOANDA,Paraná,Loanda,Paraná,-22.917778,-53.149722,"22°55'04.0""S","053°08'59.0""W","470,0"
SNWS,CE0005,Crateús,CRATEÚS,Ceará,Crateús,Ceará,-5.2111111,-40.704167,"05°12'40.0""S","040°42'15.0""W","318,0"
SSRF,BA0034,Castro Alves,CASTRO ALVES,Bahia,Castro Alves,Bahia,-12.765833,-39.451111,"12°45'57.0""S","039°27'04.0""W","261,0"
SBIC,AM0012,Itacoatiara,ITACOATIARA,Amazonas,Itacoatiara,Amazonas,-3.1263889,-58.481667,"03°07'35.0""S","058°28'54.0""W","43,0"
SWFR,GO0014,Formosa,FORMOSA,Goiás,Formosa,Goiás,-15.556111,-47.345278,"15°33'22.0""S","047°20'43.0""W","965,0"
SDJO,SP0057,São Joaquim da Barra,SÃO JOAQUIM DA BARRA,São Paulo,São Joaquim da Barra,São Paulo,-20.593333,-47.842222,"20°35'36.0""S","047°50'32.0""W","650,0"
SNOX,PA0014,Oriximiná,ORIXIMINÁ,Pará,Oriximiná,Pará,-1.7136111,-55.835833,"01°42'49.0""S","055°50'09.0""W","80,0"
SNSS,MG0029,Salinas,SALINAS,Minas Gerais,Salinas,Minas Gerais,-16.208333,-42.321944,"16°12'30.0""S","042°19'19.0""W","763,0"
SDNH,SP0060,Novo Horizonte,NOVO HORIZONTE,São Paulo,Novo Horizonte,São Paulo,-21.497778,-49.234444,"21°29'52.0""S","049°14'04.0""W","465,0"
SSTB,SC0013,Três Barras,TRÊS BARRAS,Santa Catarina,Três Barras,Santa Catarina,-26.132778,-50.309722,"26°07'58.0""S","050°18'35.0""W","780,0"
SNSE,BA0056,Sento Sé,SENTO SÉ,Bahia,Sento Sé,Bahia,-9.7575,-41.855,"09°45'27.0""S","041°51'18.0""W","398,0"
SNMJ,BA0031,Maracás,MARACÁS,Bahia,Maracás,Bahia,-13.386111,-40.466111,"13°23'10.0""S","040°27'58.0""W","962,0"
SDCA,SP0051,Capão Bonito,CAPÃO BONITO,São Paulo,Capão Bonito,São Paulo,-24.033611,-48.356944,"24°02'01.0""S","048°21'25.0""W","714,0"
SBBR,DF0001,Presidente Juscelino Kubitschek,BRASÍLIA,Distrito Federal,Brasília,Distrito Federal,-15.871111,-47.918611,"15°52'16.0""S","047°55'07.0""W","1066,0"
SWTS,MT0012,Tangará da Serra,TANGARÁ DA SERRA,Mato Grosso,Tangará da Serra,Mato Grosso,-14.661944,-57.443889,"14°39'43.0""S","057°26'38.0""W","449,0"
SBPJ,TO0001,Palmas / Brigadeiro Lysias Rodrigues,PALMAS,Tocantins,Palmas,Tocantins,-10.29,-48.357778,"10°17'24.0""S","048°21'28.0""W","236,0"
SWYN,AM0023,Apuí,APUÍ,Amazonas,Apuí,Amazonas,-7.1722222,-59.838889,"07°10'20.0""S","059°50'20.0""W","60,0"
SNSG,PE0008,Salgueiro,SALGUEIRO,Pernambuco,Salgueiro,Pernambuco,-8.0466667,-39.133889,"08°02'48.0""S","039°08'02.0""W","469,0"
SSGY,PR0023,Guaíra,GUAÍRA,Paraná,Guaíra,Paraná,-24.079722,-54.188056,"24°04'47.0""S","054°11'17.0""W","271,0"
SNVS,PA0015,Breves,BREVES,Pará,Breves,Pará,-1.6363889,-50.443333,"01°38'11.0""S","050°26'36.0""W","30,0"
SSSC,RS0029,Santa Cruz do Sul,SANTA CRUZ DO SUL,Rio Grande do Sul,Santa Cruz do Sul,Rio Grande do Sul,-29.684167,-52.412222,"29°41'03.0""S","052°24'44.0""W","199,0"
SWRO,RO0002,Aeroclube de Rondônia,PORTO VELHO,Rondônia,Porto Velho,Rondônia,-8.7936111,-63.858056,"08°47'37.0""S","063°51'29.0""W","113,0"
SNPC,PI0009,Picos,PICOS,Piauí,Picos,Piauí,-7.0652778,-41.519444,"07°03'55.0""S","041°31'10.0""W","320,0"
SBDN,SP0005,Presidente Prudente,PRESIDENTE PRUDENTE,São Paulo,Presidente Prudente,São Paulo,-22.178333,-51.418889,"22°10'42.0""S","051°25'08.0""W","452,0"
SBTK,AC0004,Tarauacá,TARAUACÁ,Acre,Tarauacá,Acre,-8.1547222,-70.782778,"08°09'17.0""S","070°46'58.0""W","197,0"
SBCD,SC0006,Carlos Alberto da Costa Neves,CAÇADOR,Santa Catarina,Caçador,Santa Catarina,-26.789722,-50.939722,"26°47'23.0""S","050°56'23.0""W","1029,0"
SNBI,MA0005,Bacabal,BACABAL,Maranhão,Bacabal,Maranhão,-4.2280556,-44.819722,"04°13'41.0""S","044°49'11.0""W","20,0"
SSPM,MS0013,Porto Murtinho,PORTO MURTINHO,Mato Grosso do Sul,Porto Murtinho,Mato Grosso do Sul,-21.712778,-57.879167,"21°42'46.0""S","057°52'45.0""W","81,0"
SWPR,GO0029,Pires do Rio,PIRES DO RIO,Goiás,Pires do Rio,Goiás,-17.318889,-48.334722,"17°19'08.0""S","048°20'05.0""W","781,0"
SBPR,MG0005,Carlos Prates,BELO HORIZONTE,Minas Gerais,Belo Horizonte,Minas Gerais,-19.909167,-43.989167,"19°54'33.0""S","043°59'21.0""W","928,0"
SNQV,MG0044,Curvelo,CURVELO,Minas Gerais,Curvelo,Minas Gerais,-18.749444,-44.458056,"18°44'58.0""S","044°27'29.0""W","672,0"
SDMH,SP0059,Mirassol,MIRASSOL,São Paulo,Mirassol,São Paulo,-20.807222,-49.486111,"20°48'26.0""S","049°29'10.0""W","584,0"
SBAU,SP0009,Estadual Dario Guarita,ARAÇATUBA,São Paulo,Araçatuba,São Paulo,-21.144167,-50.426389,"21°08'39.0""S","050°25'35.0""W","414,0"
SDPV,SP0040,Presidente Venceslau,PRESIDENTE VENCESLAU,São Paulo,Presidente Venceslau,São Paulo,-21.893333,-51.884444,"21°53'36.0""S","051°53'04.0""W","445,0"
SNPJ,MG0042,Patrocínio,PATROCÍNIO,Minas Gerais,Patrocínio,Minas Gerais,-18.909167,-46.982778,"18°54'33.0""S","046°58'58.0""W","985,0"
SBIP,MG0007,Usiminas,SANTANA DO PARAÍSO,Minas Gerais,Santana do Paraíso,Minas Gerais,-19.470556,-42.488056,"19°28'14.0""S","042°29'17.0""W","239,0"
SSNH,RS0023,Novo Hamburgo,NOVO HAMBURGO,Rio Grande do Sul,Novo Hamburgo,Rio Grande do Sul,-29.699167,-51.081944,"29°41'57.0""S","051°04'55.0""W","15,0"
SJVO,GO0030,Aragarças,ARAGARÇAS,Goiás,Aragarças,Goiás,-15.899167,-52.245278,"15°53'57.0""S","052°14'43.0""W","323,0"
SSBV,MS0011,Bela Vista,BELA VISTA,Mato Grosso do Sul,Bela Vista,Mato Grosso do Sul,-22.082222,-56.538333,"22°04'56.0""S","056°32'18.0""W","235,0"
SJBY,MA0007,João Silva,SANTA INÊS,Maranhão,Santa Inês,Maranhão,-3.6544444,-45.345278,"03°39'16.0""S","045°20'43.0""W","21,0"
SSSD,RS0017,Soledade,SOLEDADE,Rio Grande do Sul,Soledade,Rio Grande do Sul,-28.863333,-52.540556,"28°51'48.0""S","052°32'26.0""W","673,0"
SDTK,RJ0011,Paraty,PARATY,Rio de Janeiro,Paraty,Rio de Janeiro,-23.223889,-44.723333,"23°13'26.0""S","044°43'24.0""W","3,0"
SDRS,RJ0007,Resende,RESENDE,,Resende,Rio de Janeiro,-22.478611,-44.481667,"22°28'43.0""S","044°28'54.0""W","402,0"
SWEI,AM0009,Eirunepé,EIRUNEPÉ,Amazonas,Eirunepé,Amazonas,-6.6375,-69.883056,"06°38'15.0""S","069°52'59.0""W","122,0"
SSQP,BA0061,Monte Santo,MONTE SANTO,Bahia,Monte Santo,Bahia,-10.465278,-39.286111,"10°27'55.0""S","039°17'10.0""W","443,0"
SNKD,MG0070,Conceição do Mato Dentro,CONCEIÇÃO DO MATO DENTRO,Minas Gerais,Conceição do Mato Dentro,Minas Gerais,-19.020278,-43.433889,"19°01'13.0""S","043°26'02.0""W","669,0"
SSLG,RS0021,São Luiz Gonzaga,SÃO LUIZ GONZAGA,Rio Grande do Sul,São Luiz Gonzaga,Rio Grande do Sul,-28.376389,-55.0375,"28°22'35.0""S","055°02'15.0""W","200,0"
SWDN,TO0006,Dianópolis,DIANÓPOLIS,Tocantins,Dianópolis,Tocantins,-11.595278,-46.847778,"11°35'43.0""S","046°50'52.0""W","730,0"
SNJB,BA0062,Jacobina,JACOBINA,Bahia,Jacobina,Bahia,-11.163056,-40.553333,"11°09'47.0""S","040°33'12.0""W","489,0"
SSCL,MS0018,Cassilândia,CASSILÂNDIA,Mato Grosso do Sul,Cassilândia,Mato Grosso do Sul,-19.146944,-51.676389,"19°08'49.0""S","051°40'35.0""W","481,0"
SNTO,MG0048,Juscelino Kubitscheck,TEÓFILO OTONI,Minas Gerais,Teófilo Otoni,Minas Gerais,-17.890833,-41.515,"17°53'27.0""S","041°30'54.0""W","480,0"
SWVC,MT0016,Vila Rica,VILA RICA,Mato Grosso,Vila Rica,Mato Grosso,-9.9811111,-51.140556,"09°58'52.0""S","051°08'26.0""W","254,0"
SIBW,PB0008,Conceição,CONCEIÇÃO,Paraíba,Conceição,Paraíba,-7.5625,-38.4975,"07°33'45.0""S","038°29'51.0""W","370,0"
SWMW,AM0020,Maués,MAUÉS,Amazonas,Maués,Amazonas,-3.3569444,-57.712222,"03°21'25.0""S","057°42'44.0""W","21,0"
SDVG,SP0026,Domingos Pignatari,VOTUPORANGA,São Paulo,Votuporanga,São Paulo,-20.457222,-50.0025,"20°27'26.0""S","050°00'09.0""W","508,0"
SIZX,MT0018,Juara Sul,JUARA,Mato Grosso,Juara,Mato Grosso,-11.296667,-57.548889,"11°17'48.0""S","057°32'56.0""W","302,0"
SJXI,MG0311,Santa Rita do Sapucaí,SANTA RITA DO SAPUCAÍ,Minas Gerais,Santa Rita do Sapucaí,Minas Gerais,-22.272778,-45.64,"22°16'22.0""S","045°38'24.0""W","882,0"
SNPU,MG0073,Paraguaçu,PARAGUAÇU,Minas Gerais,Paraguaçu,Minas Gerais,-21.561389,-45.754722,"21°33'41.0""S","045°45'17.0""W","898,0"
,GO0028,Morrinhos,MORRINHOS,Goiás,Morrinhos,Goiás,-17.761667,-49.121667,"17°45'42.0""S","049°07'18.0""W","803,0"
SSAB,PR0024,Moisés Lupion,IBAITI,Paraná,Ibaiti,Paraná,-23.763056,-50.259167,"23°45'47.0""S","050°15'33.0""W","600,0"
SDVE,SP0070,Vera Cruz,VERA CRUZ,São Paulo,Vera Cruz,São Paulo,-22.230278,-49.816944,"22°13'49.0""S","049°49'01.0""W","640,0"
SNRZ,MG0049,Oliveira,OLIVEIRA,Minas Gerais,Oliveira,Minas Gerais,-20.714444,-44.865278,"20°42'52.0""S","044°51'55.0""W","1015,0"
SDKJ,BA0025,Formosa do Rio Preto,FORMOSA DO RIO PRETO,Bahia,Formosa do Rio Preto,Bahia,-11.021111,-45.187222,"11°01'16.0""S","045°11'14.0""W","511,0"
SDTI,SP0073,Tupi Paulista,TUPI PAULISTA,São Paulo,Tupi Paulista,São Paulo,-21.393056,-51.598889,"21°23'35.0""S","051°35'56.0""W","365,0"
SSFL,PI0006,João Pereira dos Santos Filho,FRONTEIRAS,Piauí,Fronteiras,Piauí,-7.1,-40.628333,"07°06'00.0""S","040°37'42.0""W","448,0"
SBLP,BA0037,Bom Jesus da Lapa,BOM JESUS DA LAPA,Bahia,Bom Jesus da Lapa,Bahia,-13.261389,-43.4075,"13°15'41.0""S","043°24'27.0""W","443,0"
SNGB,PI0011,Gilbués,GILBUÉS,Piauí,Gilbués,Piauí,-9.8336111,-45.367222,"09°50'01.0""S","045°22'02.0""W","450,0"
SNJP,MG0036,João Pinheiro,JOÃO PINHEIRO,Minas Gerais,João Pinheiro,Minas Gerais,-17.7875,-46.120278,"17°47'15.0""S","046°07'13.0""W","911,0"
SSPS,PR0036,Dimorvan Carraro,PALMAS,Paraná,Palmas,Paraná,-26.472222,-51.975556,"26°28'20.0""S","051°58'32.0""W","1100,0"
SDBA,SP0063,Batatais,BATATAIS,São Paulo,Batatais,São Paulo,-20.876944,-47.585833,"20°52'37.0""S","047°35'09.0""W","881,0"
SSOI,SP0043,Pederneiras,PEDERNEIRAS,São Paulo,Pederneiras,São Paulo,-22.307222,-48.773056,"22°18'26.0""S","048°46'23.0""W","536,0"
SNAG,MG0020,Araguari,ARAGUARI,Minas Gerais,Araguari,Minas Gerais,-18.668056,-48.190278,"18°40'05.0""S","048°11'25.0""W","947,0"
SNBC,MA0006,Barra do Corda,BARRA DO CORDA,Maranhão,Barra do Corda,Maranhão,-5.5025,-45.215833,"05°30'09.0""S","045°12'57.0""W","155,0"
SBPV,RO0001,Governador Jorge Teixeira de Oliveira,PORTO VELHO,Rondônia,Porto Velho,Rondônia,-8.7136111,-63.902778,"08°42'49.0""S","063°54'10.0""W","90,0"
SSCR,PR0016,Ruben Berta,MARECHAL CÂNDIDO RONDON,Paraná,Marechal Cândido Rondon,Paraná,-24.512778,-54.053889,"24°30'46.0""S","054°03'14.0""W","525,0"
SDPY,SP0066,Pirassununga,PIRASSUNUNGA,São Paulo,Pirassununga,São Paulo,-22.027778,-47.421667,"22°01'40.0""S","047°25'18.0""W","683,0"
SDJC,SP0064,Jaboticabal,JABOTICABAL,São Paulo,Jaboticabal,São Paulo,-21.230833,-48.285556,"21°13'51.0""S","048°17'08.0""W","615,0"
SDUN,RJ0008,Itaperuna,ITAPERUNA,Rio de Janeiro,Itaperuna,Rio de Janeiro,-21.219167,-41.875833,"21°13'09.0""S","041°52'33.0""W","110,0"
SNQU,BA0032,Mucugê,MUCUGÊ,Bahia,Mucugê,Bahia,-13.031667,-41.444444,"13°01'54.0""S","041°26'40.0""W","1056,0"
SDFD,SP0054,Coronel Aviador Carlos Orleans Guimarães,FERNANDÓPOLIS,São Paulo,Fernandópolis,São Paulo,-20.276667,-50.213889,"20°16'36.0""S","050°12'50.0""W","499,0"
SNUB,MG0058,Ubá,UBÁ,Minas Gerais,Ubá,Minas Gerais,-21.1225,-42.882222,"21°07'21.0""S","042°52'56.0""W","340,0"
SDNM,MT0047,Brigadeiro Eduardo Gomes,NOVA MUTUM,Mato Grosso,Nova Mutum,Mato Grosso,-13.821111,-56.038611,"13°49'16.0""S","056°02'19.0""W","430,0"
SSMT,RS0044,Mostardas,MOSTARDAS,Rio Grande do Sul,Mostardas,Rio Grande do Sul,-31.104167,-50.912222,"31°06'15.0""S","050°54'44.0""W","18,0"
SNYB,MG0047,Tito Teixeira,ITUIUTABA,Minas Gerais,Ituiutaba,Minas Gerais,-19.001944,-49.487222,"19°00'07.0""S","049°29'14.0""W","605,0"
SBTU,PA0007,Tucuruí,TUCURUÍ,Pará,Tucuruí,Pará,-3.7769444,-49.719722,"03°46'37.0""S","049°43'11.0""W","253,0"
SBUR,MG0009,Mario de Almeida Franco,UBERABA,Minas Gerais,Uberaba,Minas Gerais,-19.764722,-47.966111,"19°45'53.0""S","047°57'58.0""W","809,0"
SNFE,MG0012,Comandante Paschoal Patrocínio Filho,ALFENAS,Minas Gerais,Alfenas,Minas Gerais,-21.431667,-45.933056,"21°25'54.0""S","045°55'59.0""W","875,0"
